"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN","67.129","67.625","68.065","68.458","68.817","69.165","69.526","69.917","70.345","70.811","71.306","71.815","72.313","72.779","73.204","73.579","73.902","74.183","74.43","74.647","74.839","75.01","75.164","75.305","75.436","75.556","75.663","75.754","75.827","75.886","75.932","75.969","76.002","76.033","76.066","76.1","76.133","76.164","76.192","76.221","76.257","76.307","76.375","76.465","76.575","76.703","76.845","76.992","77.14","77.285","77.425","77.561","77.695","77.83","77.965","78.101","78.237","78.372","78.507","78.641","78.774","",
"Africa Eastern and Southern","AFE","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN","44.3005705955963","44.7611800269639","45.2055846613132","45.6311615075452","46.0392208524744","46.4324475119773","46.8157057735064","47.1948081270431","47.5720428804467","47.9485529392426","48.3235265974931","48.6961311438223","49.0625684055938","49.4188565749637","49.7622849700345","50.0886641056475","50.3941495471997","50.6791345593838","50.9465865079406","51.200734839905","51.456068885787","51.7104809002298","51.9746295680145","52.2451721343093","52.5145664492391","52.7658737927151","52.9718785198926","53.1161473929114","53.1890598054621","53.1989640618017","53.166097615091","53.1184280827748","53.076758457369","53.048247997191","53.0248909136812","53.0015448864495","52.980450767098","52.9792216508324","53.0172888150524","53.1142868364369","53.2911425288527","53.5640314610639","53.9448091299509","54.438284133085","55.041854383674","55.754852591005","56.5733071840586","57.4751668896265","58.4288155630814","59.4072576484618","60.3772102314204","61.3129397177343","62.196971299879","63.0111587325918","63.7447878658956","64.3882566590117","64.9392938556128","65.4155145917997","65.8329443519471","66.2021159937113","66.5346278673426","",
"Afghanistan","AFG","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN","33.314","33.84","34.359","34.866","35.364","35.853","36.338","36.823","37.314","37.815","38.327","38.851","39.385","39.931","40.49","41.064","41.656","42.265","42.894","43.541","44.209","44.899","45.607","46.331","47.066","47.807","48.55","49.29","50.023","50.742","51.442","52.119","52.774","53.405","54.012","54.592","55.141","55.663","56.162","56.645","57.12","57.596","58.08","58.578","59.093","59.628","60.183","60.751","61.326","61.898","62.459","63","63.514","63.999","64.453","64.877","65.275","65.656","66.026","66.388","66.744","",
"Africa Western and Central","AFW","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN","38.4272321184054","38.8521802991008","39.2694771991274","39.6776844999995","40.0772401447113","40.473643292996","40.8738676169377","41.2851359411487","41.7137737814131","42.1625457899585","42.6324483156981","43.1239530446135","43.6304598730384","44.1462421349192","44.6654395220442","45.1856517671693","45.7069993065582","46.2262281274114","46.7374613685889","47.2339581710573","47.7042105254535","48.1374625808925","48.5282157273033","48.8718139789085","49.1656671221628","49.4106076199694","49.6123587236802","49.7796443195377","49.920674994913","50.0408229979297","50.1354927160956","50.197495450348","50.2236189537145","50.2164821030374","50.1856119895964","50.1418169513258","50.0986403291767","50.0729924753661","50.0832642020615","50.1454888226564","50.2811403730684","50.5074157869874","50.8248799870958","51.2267361611299","51.7051181018026","52.2441270069714","52.8226943093002","53.4175148656141","54.005893884148","54.5745360411983","55.1161847888434","55.6329422915768","56.1359220445114","56.6316010913323","57.1168992406205","57.5876834122906","58.0371070801434","58.4619457281978","58.8592389821574","59.2310724966126","59.579346098832","",
"Angola","AGO","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN","38.763","39.069","39.391","39.727","40.075","40.433","40.801","41.175","41.554","41.934","42.314","42.693","43.073","43.449","43.82","44.181","44.531","44.866","45.183","45.48","45.754","46.005","46.231","46.434","46.612","46.762","46.878","46.962","47.017","47.052","47.07","47.077","47.082","47.101","47.149","47.242","47.391","47.605","47.893","48.265","48.736","49.317","50.005","50.789","51.661","52.614","53.642","54.726","55.839","56.953","58.033","59.052","59.992","60.841","61.591","62.237","62.783","63.252","63.666","64.039","64.383","",
"Albania","ALB","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN","63.247","64.325","65.261","66.017","66.585","66.987","67.273","67.517","67.779","68.084","68.441","68.839","69.247","69.64","70.014","70.369","70.71","71.046","71.384","71.729","72.09","72.479","72.893","73.323","73.754","74.156","74.492","74.744","74.903","74.977","74.991","74.98","74.985","75.039","75.158","75.352","75.618","75.931","76.269","76.616","76.953","77.263","77.538","77.777","77.982","78.165","78.349","78.551","78.781","79.037","79.302","79.554","79.77","79.934","80.045","80.107","80.134","80.148","80.167","80.201","80.256","",
"Andorra","AND","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN","47.6295644788015","48.2203178977256","48.8110212040798","49.4068505558284","50.0101250311137","50.6165699841502","51.2170469321993","51.8046595977814","52.3772308796886","52.9396821574497","53.4991636162175","54.0667789435982","54.652471652385","55.2599557060369","55.8878837872003","56.5385158438426","57.213320485447","57.90904409183","58.6241499196775","59.3599598872959","60.1138665986863","60.878006906264","61.6385318214381","62.3796367425333","63.0839881563914","63.7354432443874","64.3257759529614","64.8591992122967","65.3423677235932","65.7819736248994","66.2188212678931","66.6074249438956","66.9392611857708","67.3233385650122","67.7061003579879","68.11539838397","68.4783758427748","68.8210700798159","69.1375899990189","69.4287169149009","69.6999133461525","69.9599852627875","70.2186463070568","70.4836228176462","70.758012929892","71.0387106244966","71.3183856132824","71.5870242156332","71.8353361051574","72.0599575739256","72.2611610389689","72.4459734748157","72.6223160562091","72.7967568638834","72.9712271038819","73.1464794133021","73.3212602377722","73.4938280799572","73.6636751380629","73.8323144976843","74.0005212954345","",
"United Arab Emirates","ARE","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN","53.973","54.897","55.829","56.771","57.72","58.678","59.641","60.604","61.56","62.498","63.41","64.287","65.126","65.92","66.666","67.362","68.007","68.606","69.165","69.685","70.168","70.614","71.026","71.407","71.76","72.088","72.395","72.682","72.954","73.213","73.461","73.701","73.932","74.155","74.374","74.591","74.812","75.036","75.264","75.496","75.729","75.961","76.187","76.406","76.616","76.818","77.014","77.205","77.394","77.583","77.77","77.957","78.143","78.325","78.504","78.678","78.846","79.008","79.164","79.314","79.458","",
"Argentina","ARG","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN","68.154","68.362","68.536","68.685","68.82","68.958","69.111","69.289","69.495","69.733","70","70.291","70.593","70.896","71.196","71.494","71.793","72.097","72.407","72.718","73.023","73.311","73.576","73.816","74.029","74.22","74.397","74.569","74.745","74.928","75.119","75.316","75.515","75.71","75.902","76.09","76.273","76.453","76.631","76.808","76.982","77.155","77.326","77.496","77.664","77.831","77.996","78.16","78.323","78.485","78.646","78.806","78.966","79.124","79.281","79.434","79.583","79.726","79.863","79.995","80.122","",
